color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,aspect_ratio,movie_facebook_likes,is_color,log_budget,log_gross,roi,review_ratio,votes_per_review,actor_lead_share,director_share,movie_age,imdb_binned
Color,James Cameron,723,178,0,855,Joel David Moore,1000,760505847,Action|Adventure|Fantasy|Sci-Fi,CCH Pounder,886204,4834,Wes Studi,0,avatar|future|marine|native|paraplegic,3054,English,USA,PG-13,237000000,2009,936,1.78,33000,1,19.2835707,20.44949436,2.20887611,4.218232044,290.0831424,0.206825233,0,17,HIT
Color,Gore Verbinski,302,169,563,1000,Orlando Bloom,40000,309404152,Action|Adventure|Fantasy,Johnny Depp,471220,48350,Jack Davenport,0,goddess|marriage ceremony|marriage proposal|pirate|singapore,1238,English,USA,PG-13,300000000,2007,5000,2.35,0,1,19.51929304,19.55015892,0.031347069,4.085808581,380.322841,0.82728382,0.01164402,19,HIT
Color,Sam Mendes,602,148,0,161,Rory Kinnear,11000,200074175,Action|Adventure|Thriller,Christoph Waltz,275868,11700,Stephanie Sigman,1,bomb|espionage|sequel|spy|terrorist,994,English,UK,PG-13,245000000,2015,393,2.35,85000,1,19.31676877,19.11419874,-0.183369966,1.648424544,277.2542714,0.940090591,0,11,HIT
Color,Christopher Nolan,813,164,22000,23000,Christian Bale,27000,448130642,Action|Thriller,Tom Hardy,1144337,106759,Joseph Gordon-Levitt,0,deception|imprisonment|lawlessness|police officer|terrorist plot,2701,English,USA,PG-13,250000000,2012,23000,2.35,164000,1,19.33697148,19.92059536,0.792519398,3.318181818,423.5148038,0.252903709,0.206069689,14,HIT
Color,Doug Walker,0,103,131,0,Rob Walker,131,25445749,Documentary,Doug Walker,8,143,Ben Mendelsohn,0,based on novel,0,English,USA,R,20000000,2005,12,2.35,0,0,16.81124288,17.05205929,0.272273836,0,8,0.909722222,0.909722222,21,HIT
Color,Andrew Stanton,462,132,475,530,Samantha Morton,640,73058679,Action|Adventure|Sci-Fi,Daryl Sabara,212204,1873,Polly Walker,1,alien|american civil war|male nipple|mars|princess,738,English,USA,PG-13,263700000,2012,632,2.35,24000,1,19.39032266,18.10677351,-0.722945006,1.593952484,287.150203,0.341515475,0.253468517,14,HIT
Color,Sam Raimi,392,156,0,4000,James Franco,24000,336530303,Action|Adventure|Romance,J.K. Simmons,383056,46055,Kirsten Dunst,0,sandman|spider man|symbiote|venom|villain,1902,English,USA,PG-13,258000000,2007,11000,2.35,0,1,19.36847015,19.63419876,0.30437984,4.839694656,201.2905938,0.521104742,0,19,HIT
Color,Nathan Greno,324,100,15,284,Donna Murphy,799,200807262,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,Brad Garrett,294810,2036,M.C. Gainey,1,17th century|based on fairy tale|disney|flower|tower,387,English,USA,PG,260000000,2010,553,1.85,29000,1,19.37619219,19.11785612,-0.227663501,1.190769231,759.8195876,0.392243495,0.00736377,16,HIT
Color,Joss Whedon,635,141,0,19000,Robert Downey Jr.,26000,458991599,Action|Adventure|Sci-Fi,Chris Hemsworth,462669,92000,Scarlett Johansson,4,artificial intelligence|based on comic book|captain america|marvel cinematic universe|superhero,1117,English,USA,PG-13,250000000,2015,21000,2.35,118000,1,19.33697148,19.94454247,0.835963052,1.756289308,413.8363148,0.282605624,0,11,HIT
Color,David Yates,375,153,282,10000,Daniel Radcliffe,25000,301956980,Adventure|Family|Fantasy|Mystery,Alan Rickman,321795,58753,Rupert Grint,3,blood|book|love|potion|professor,973,English,UK,PG,250000000,2009,11000,2.35,10000,1,19.33697148,19.52579512,0.207827089,2.587765957,330.3850103,0.425502944,0.004799673,17,HIT
Color,Zack Snyder,673,183,0,2000,Lauren Cohan,15000,330249062,Action|Adventure|Sci-Fi,Henry Cavill,371639,24450,Alan D. Purwin,0,based on comic book|batman|sequel to a reboot|superhero|superman,3018,English,USA,PG-13,250000000,2016,4000,2.35,197000,1,19.33697148,19.61535766,0.320994964,4.477744807,123.1000331,0.613471842,0,10,HIT
Color,Bryan Singer,434,169,0,903,Marlon Brando,18000,200069408,Action|Adventure|Sci-Fi,Kevin Spacey,240396,29991,Frank Langella,0,crystal|epic|lex luthor|lois lane|return to earth,2367,English,USA,PG-13,209000000,2006,10000,2.35,0,1,19.15784481,19.11417491,-0.042729901,5.44137931,101.5185811,0.600160043,0,20,HIT
Color,Marc Forster,403,106,395,393,Mathieu Amalric,451,168368427,Action|Adventure,Giancarlo Giannini,330784,2023,Rory Kinnear,1,action hero|attempted rape|bond girl|official james bond series|revenge,1243,English,UK,PG-13,200000000,2008,412,2.35,0,1,19.11382793,18.94166516,-0.158157074,3.076732673,265.903537,0.222826087,0.195158103,18,HIT
Color,Gore Verbinski,313,151,563,1000,Orlando Bloom,40000,423032628,Action|Adventure|Fantasy,Johnny Depp,522040,48486,Jack Davenport,2,box office hit|giant squid|heart|liar's dice|monster,1832,English,USA,PG-13,225000000,2006,5000,2.35,5000,1,19.23161096,19.86295987,0.880141102,5.834394904,284.8008729,0.824963392,0.01161136,20,HIT
Color,Gore Verbinski,450,150,563,1000,Ruth Wilson,40000,89289910,Action|Adventure|Western,Johnny Depp,181792,45757,Tom Wilkinson,1,horse|outlaw|texas|texas ranger|train,711,English,USA,PG-13,215000000,2013,2000,2.35,48000,1,19.18614859,18.30739906,-0.584695374,1.576496674,255.3258427,0.874164081,0.012303859,13,HIT
Color,Zack Snyder,733,143,0,748,Christopher Meloni,15000,291021565,Action|Adventure|Fantasy|Sci-Fi,Henry Cavill,548573,20495,Harry Lennix,0,based on comic book|british actor playing american character|final battle|origin of hero|reboot,2536,English,USA,PG-13,225000000,2013,3000,2.35,118000,1,19.23161096,19.48890793,0.293427874,3.455040872,216.2290106,0.731850117,0,13,HIT
